group,track_id,previous_frame,current_frame,frame_gap,dx,dy,center_distance
zm1_1,4,56,57,1,0.0,0.0,0.0
zm1_1,4,57,58,1,0.0,0.0,0.0
zm1_1,4,58,59,1,0.0,0.0,0.0
zm1_1,4,59,60,1,0.0,0.0,0.0
zm1_1,4,60,61,1,0.0,0.0,0.0
zm1_1,4,61,62,1,0.0,0.0,0.0
zm1_1,4,62,63,1,0.0,0.0,0.0
zm1_1,4,63,64,1,0.0,0.0,0.0
zm1_1,4,64,65,1,0.0,0.0,0.0
zm1_1,4,65,66,1,0.0,0.0,0.0
zm1_1,4,66,67,1,0.0,-0.5,0.5
zm1_1,4,67,68,1,0.0,0.0,0.0
zm1_1,4,68,69,1,0.0,0.0,0.0
zm1_1,4,69,70,1,0.0,0.0,0.0
zm1_1,4,70,71,1,0.0,0.0,0.0
zm1_1,4,71,72,1,0.0,0.0,0.0
zm1_1,4,72,73,1,0.0,0.0,0.0
zm1_1,4,73,74,1,0.0,0.0,0.0
zm1_1,4,74,75,1,0.0,0.0,0.0
zm1_1,4,75,76,1,0.0,0.0,0.0
zm1_1,4,76,77,1,0.0,0.0,0.0
zm1_1,4,77,78,1,0.0,0.0,0.0
zm1_1,4,78,79,1,0.0,0.0,0.0
zm1_1,4,79,80,1,0.0,0.0,0.0
zm1_1,4,80,81,1,0.0,0.0,0.0
zm1_1,4,81,82,1,0.0,0.0,0.0
zm1_1,4,82,83,1,0.0,0.0,0.0
zm1_1,4,83,84,1,0.0,0.0,0.0
zm1_1,4,84,85,1,0.0,0.0,0.0
zm1_1,4,85,86,1,0.0,0.0,0.0
zm1_1,4,86,87,1,0.0,0.0,0.0
zm1_1,4,87,88,1,0.0,-0.5,0.5
zm1_1,4,88,89,1,0.0,-0.5,0.5
zm1_1,4,89,90,1,0.0,-0.5,0.5
zm1_1,4,90,91,1,0.0,-0.5,0.5
zm1_1,4,91,92,1,0.0,-0.5,0.5
zm1_1,4,92,93,1,0.0,-0.5,0.5
zm1_1,4,93,94,1,0.5,-0.5,0.7071067811865476
zm1_1,4,94,95,1,0.0,-0.5,0.5
zm1_1,4,95,96,1,0.0,-0.5,0.5
zm1_1,4,96,97,1,0.0,-0.5,0.5
zm1_1,5,1,2,1,-0.5,0.0,0.5
zm1_1,5,2,3,1,0.0,0.0,0.0
zm1_1,5,3,4,1,0.0,0.5,0.5
zm1_1,5,4,5,1,0.0,0.0,0.0
zm1_1,5,5,6,1,0.0,-0.5,0.5
zm1_1,5,6,7,1,-0.5,0.0,0.5
zm1_1,5,7,8,1,0.5,0.0,0.5
zm1_1,5,8,9,1,0.0,0.0,0.0
zm1_1,5,9,10,1,0.0,0.5,0.5
zm1_1,5,10,11,1,-0.5,0.0,0.5
zm1_1,5,11,12,1,0.0,0.0,0.0
zm1_1,5,12,13,1,0.0,0.0,0.0
zm1_1,5,13,14,1,0.0,0.0,0.0
zm1_1,5,14,15,1,0.0,-0.5,0.5
zm1_1,5,15,16,1,0.0,0.0,0.0
zm1_1,5,16,17,1,0.0,0.0,0.0
zm1_1,5,17,18,1,0.0,0.0,0.0
zm1_1,5,18,19,1,-0.5,0.0,0.5
zm1_1,5,19,20,1,0.0,0.0,0.0
zm1_1,5,20,21,1,0.0,0.0,0.0
zm1_1,5,21,22,1,0.0,0.5,0.5
zm1_1,5,22,23,1,0.0,0.0,0.0
zm1_1,5,23,24,1,0.0,0.0,0.0
zm1_1,5,24,25,1,0.0,0.0,0.0
zm1_1,5,25,26,1,0.0,0.0,0.0
zm1_1,5,26,27,1,0.0,0.0,0.0
zm1_1,5,27,28,1,0.0,0.0,0.0
zm1_1,5,28,29,1,0.0,-0.5,0.5
zm1_1,5,29,30,1,0.0,0.0,0.0
zm1_1,5,30,31,1,0.0,0.0,0.0
zm1_1,5,31,32,1,0.0,0.0,0.0
zm1_1,5,32,33,1,-0.5,0.0,0.5
zm1_1,5,33,34,1,0.0,0.0,0.0
zm1_1,5,34,35,1,0.0,0.0,0.0
zm1_1,5,35,36,1,0.0,0.0,0.0
zm1_1,5,36,37,1,0.0,0.0,0.0
zm1_1,5,37,38,1,0.0,0.0,0.0
zm1_1,5,38,39,1,0.0,0.0,0.0
zm1_1,5,39,40,1,0.0,0.0,0.0
zm1_1,5,40,41,1,0.0,0.0,0.0
zm1_1,5,41,42,1,0.0,0.0,0.0
zm1_1,5,42,43,1,0.0,0.0,0.0
zm1_1,5,43,44,1,-0.5,0.0,0.5
zm1_1,5,44,45,1,0.0,0.0,0.0
zm1_1,5,45,46,1,0.0,0.0,0.0
zm1_1,5,46,47,1,0.0,0.0,0.0
zm1_1,5,47,48,1,0.0,0.0,0.0
zm1_1,5,48,49,1,0.0,0.0,0.0
zm1_1,5,49,50,1,0.0,0.0,0.0
zm1_1,5,50,51,1,0.0,0.0,0.0
zm1_1,5,51,52,1,-0.5,0.0,0.5
zm1_1,5,52,53,1,0.0,0.0,0.0
zm1_1,5,53,54,1,0.0,0.0,0.0
zm1_1,5,54,55,1,0.0,0.0,0.0
zm1_1,5,55,56,1,0.0,0.0,0.0
zm1_1,5,56,57,1,0.0,0.0,0.0
zm1_1,5,57,58,1,0.0,0.0,0.0
zm1_1,5,58,59,1,-0.5,0.0,0.5
zm1_1,5,59,60,1,0.0,0.0,0.0
zm1_1,5,60,61,1,0.0,0.0,0.0
zm1_1,5,61,62,1,0.0,0.0,0.0
zm1_1,5,62,63,1,0.0,0.0,0.0
zm1_1,5,63,64,1,0.0,0.0,0.0
zm1_1,5,64,65,1,0.0,0.0,0.0
zm1_1,5,65,66,1,0.0,0.0,0.0
zm1_1,5,66,67,1,-0.5,0.0,0.5
zm1_1,5,67,68,1,0.0,0.0,0.0
zm1_1,5,68,69,1,0.0,0.0,0.0
zm1_1,5,69,70,1,0.0,0.0,0.0
zm1_1,5,70,71,1,0.0,0.0,0.0
zm1_1,5,71,72,1,0.0,0.0,0.0
zm1_1,5,72,73,1,0.0,0.0,0.0
zm1_1,5,73,74,1,0.0,0.0,0.0
zm1_1,5,74,75,1,-0.5,0.0,0.5
zm1_1,5,75,76,1,0.0,0.0,0.0
zm1_1,5,76,77,1,0.0,0.0,0.0
zm1_1,5,77,78,1,0.0,0.0,0.0
