group,track_id,transitions,transition_sequence
zm5_3,2,1,zm_im -> zm_el
zm5_3,3,0,
zm5_3,4,1,zm_im -> zm_el
zm5_3,5,1,zm_im -> zm_el
zm5_3,6,1,zm_im -> zm_el
zm5_3,7,1,zm_im -> zm_el
zm5_3,8,0,
zm5_3,9,1,zm_im -> zm_el
zm5_3,10,1,zm_im -> zm_el
zm5_4,1,1,zm_im -> zm_el
zm5_4,2,1,zm_im -> zm_el
zm5_4,3,1,zm_im -> zm_el
zm5_4,4,1,zm_im -> zm_el
zm5_4,5,1,zm_im -> zm_el
zm5_4,6,1,zm_im -> zm_el
zm5_4,7,1,zm_im -> zm_el
zm5_4,8,1,zm_im -> zm_el
zm5_4,9,1,zm_im -> zm_el
zm5_4,10,1,zm_im -> zm_el
zm5_5,1,1,zm_im -> zm_el
zm5_5,2,1,zm_im -> zm_el
zm5_5,3,1,zm_im -> zm_el
zm5_5,4,0,
zm5_5,5,1,zm_im -> zm_el
zm5_5,6,1,zm_im -> zm_el
zm5_5,7,1,zm_im -> zm_el
zm5_5,8,0,
zm5_5,9,1,zm_im -> zm_el
zm5_5,10,1,zm_im -> zm_el
zm5_6,1,1,zm_im -> zm_el
zm5_6,2,1,zm_im -> zm_el
zm5_6,3,1,zm_im -> zm_el
zm5_6,4,1,zm_im -> zm_el
zm5_6,5,1,zm_im -> zm_el
zm5_6,6,1,zm_im -> zm_el
zm5_6,7,1,zm_im -> zm_el
zm5_6,8,1,zm_im -> zm_el
zm5_6,9,1,zm_im -> zm_el
zm5_6,10,1,zm_im -> zm_el
zm5_7,1,1,zm_im -> zm_el
zm5_7,2,1,zm_im -> zm_el
zm5_7,3,1,zm_im -> zm_el
zm5_7,4,0,
zm5_7,5,0,
zm5_7,6,1,zm_im -> zm_el
zm5_7,7,1,zm_im -> zm_el
zm5_7,8,1,zm_im -> zm_el
zm5_7,9,1,zm_im -> zm_el
zm5_7,10,0,
zm5_8,1,0,
zm5_8,2,3,zm_im -> zm_el | zm_el -> zm_im | zm_im -> zm_el
zm5_8,3,1,zm_im -> zm_el
zm5_8,4,1,zm_im -> zm_el
