group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm2_11,9,97,0.0023783956407796287,0.012642233531943,0.00032759098474664745,0.0011331839442092,0.9938129671408734,0.9653674280039722,False,
zm2_11,10,97,0.0020363408331867793,0.0142487308878138,0.00029165952773397115,0.0017917211358171,0.9947235367424009,0.9626168224299064,False,
zm2_12,1,97,0.004523215892283721,0.0263824741756058,0.0007785614364636691,0.0040064102564102,0.988522425832622,0.932061978545888,False,
zm2_12,2,97,0.002380124671234136,0.0189116571728249,0.0003014098902727917,0.0024038461538461,0.9937594050212663,0.949278965688712,False,
zm2_12,3,97,0.00050423928438957,0.0050080128205128,8.260639703938145e-05,0.000801282051282,0.9987127282105316,0.9871794871794872,False,
zm2_12,4,97,0.0019785251008623476,0.0127062510548516,0.0002950269019471773,0.0017917211358171,0.9948949782440094,0.9670239076669416,False,
zm2_12,5,97,0.0023966349059052414,0.0141600989755006,0.0003509013073669825,0.0024038461538461,0.9938041455539522,0.9616470588235294,False,
zm2_12,6,97,0.0004208412863229825,0.0104477611940298,3.3042558815752576e-05,0.000801282051282,0.9988589610768779,0.9701492537313432,False,
zm2_12,7,97,0.0038689479902209558,0.01633646867912,0.0006618580598403227,0.0025338763302631,0.9901750278533578,0.9580301455301456,False,
zm2_12,8,97,0.0031972398727205475,0.0122649423628765,0.00047977658954622684,0.0017917211358171,0.9917560426013843,0.968284789644013,False,
zm2_12,9,97,0.0024596765054902617,0.0114286924119241,0.00041845802148996803,0.0016025641025641,0.9937494891670806,0.9688346883468836,False,
zm2_12,10,97,0.0006119272458584185,0.0146486223799864,7.43457573354433e-05,0.000801282051282,0.9983897071325989,0.9596348884381338,False,
zm2_2,1,97,0.0004371438506338248,0.0053819444444444,7.43457573354433e-05,0.000801282051282,0.998889088261812,0.9861111111111112,False,
zm2_2,2,97,0.0016999029111037216,0.0179980645008074,0.00025466252911664433,0.0016025641025641,0.9956160792366345,0.951553149045312,False,
zm2_2,3,97,0.000521676860030833,0.0076086956521739,7.43457573354433e-05,0.000801282051282,0.9986475653778206,0.9782608695652174,False,
zm2_2,4,97,0.002309447764604836,0.0111268939393939,0.000331012653745901,0.0016025641025641,0.9940163156009428,0.9696969696969696,False,
zm2_2,5,97,0.00020351962445902682,0.0097821776718441,2.8203588111063918e-05,0.0011331839442092,0.9994708934508948,0.9741554054054054,False,
zm2_2,6,97,0.0005632599377106298,0.0146358417598638,7.487852813776804e-05,0.0017917211358171,0.9985297460159398,0.9615107913669064,False,
zm2_2,7,97,0.007697674692599864,0.119073423220745,0.0011370779533133454,0.0255029334340377,0.9801183599344394,0.7071528100325127,False,
zm2_2,8,97,0.0048242029998515415,0.0167004048582995,0.0007104434021843598,0.0022663678884184,0.9875359577473379,0.9522845575477156,False,
zm2_2,9,97,0.001380318857470133,0.0372437139775391,0.00020236069333754946,0.0048740084377389,0.9964320445519979,0.9026411185914034,False,
zm2_2,10,97,0.0019551381983146164,0.0162142328507398,0.00026203863791746703,0.0017917211358171,0.9949005340466621,0.9570011025358324,False,
zm2_3,1,97,0.0026896584824131695,0.0124936362554174,0.0004753979685144247,0.0024038461538461,0.9931981434203463,0.9676313785224676,False,
zm2_3,2,97,0.002226046539457199,0.01205350762717,0.00040388681458986084,0.0017917211358171,0.994389942542932,0.9688888888888888,False,
zm2_3,3,97,0.001781969377388465,0.012880867786391,0.00023530664629788865,0.0011331839442092,0.9953456569791577,0.9646856158484064,False,
zm2_3,4,97,0.0026955962668208946,0.0100673979766899,0.00047427813212373195,0.0016025641025641,0.9931790986258844,0.9733404902487028,False,
zm2_3,5,97,0.0031476912533804414,0.0223108344305706,0.000438266774786534,0.0033995518326276,0.9918205204292309,0.9425682121732494,False,
zm2_3,6,97,0.0022651891480293318,0.0192585619577869,0.00040383384091061754,0.0033037705333474,0.9942780081387502,0.9511111111111112,False,
zm2_3,7,97,0.003075569548212435,0.0146959459459459,0.00042388405778303196,0.0032051282051282,0.9919998716838472,0.963963963963964,False,
zm2_3,8,97,0.0025960415425442308,0.0168318274555523,0.00038246259731483916,0.0025338763302631,0.9932930261306012,0.9519090644127076,False,
zm2_3,9,97,0.0020010588051393432,0.0076454402515723,0.00042129262490085776,0.0016025641025641,0.9950650897172749,0.981132075471698,False,
zm2_3,10,97,0.0007586595295765763,0.0103068820637359,0.00011423165414969485,0.0011331839442092,0.9980445458446305,0.97265625,False,
zm2_4,1,97,0.0002251503335842691,0.0044534176029962,4.1303198519690725e-05,0.000801282051282,0.9994334192727244,0.9887640449438202,False,
