group,frame,pg_el,pg_im
pg1_8,4,0,10
pg1_8,5,0,10
pg1_8,6,0,10
pg1_8,7,0,10
pg1_8,8,0,10
pg1_8,9,0,10
pg1_8,10,0,10
pg1_8,11,0,10
pg1_8,12,1,9
pg1_8,13,0,10
pg1_8,14,0,10
pg1_8,15,1,9
pg1_8,16,0,10
pg1_8,17,1,9
pg1_8,18,1,9
pg1_8,19,1,9
pg1_8,20,1,9
pg1_8,21,1,9
pg1_8,22,1,9
pg1_8,23,1,9
pg1_8,24,1,9
pg1_8,25,1,9
pg1_8,26,2,8
pg1_8,27,4,6
pg1_8,28,5,5
pg1_8,29,5,5
pg1_8,30,5,5
pg1_8,31,5,5
pg1_8,32,5,5
pg1_8,33,5,5
pg1_8,34,5,5
pg1_8,35,5,5
pg1_8,36,6,4
pg1_8,37,5,5
pg1_8,38,6,4
pg1_8,39,6,4
pg1_8,40,6,4
pg1_8,41,6,4
pg1_8,42,6,4
pg1_8,43,6,4
pg1_8,44,6,4
pg1_8,45,6,4
pg1_8,46,6,4
pg1_8,47,6,4
pg1_8,48,6,4
pg1_8,49,6,4
pg1_8,50,6,4
pg1_8,51,6,4
pg1_8,52,6,4
pg1_8,53,6,4
pg1_8,54,6,4
pg1_8,55,6,4
pg1_8,56,6,4
pg1_8,57,6,4
pg1_8,58,6,4
pg1_8,59,6,4
pg1_8,60,6,4
pg1_8,61,6,4
pg1_8,62,6,4
pg1_8,63,6,4
pg1_8,64,6,4
pg1_8,65,6,4
pg1_8,66,6,4
pg1_8,67,6,4
pg1_8,68,6,4
pg1_8,69,6,4
pg1_8,70,6,4
pg1_8,71,6,4
pg1_8,72,6,4
pg1_8,73,6,4
pg1_8,74,6,4
pg1_8,75,6,4
pg1_8,76,6,4
pg1_8,77,6,4
pg1_8,78,6,4
pg1_8,79,6,4
pg1_8,80,6,4
pg1_8,81,6,4
pg1_8,82,6,4
pg1_8,83,6,4
pg1_8,84,6,4
pg1_8,85,6,4
pg1_8,86,6,4
pg1_8,87,6,4
pg1_8,88,6,4
pg1_8,89,6,4
pg1_8,90,6,4
pg1_8,91,6,4
pg1_8,92,6,4
pg1_8,93,6,4
pg1_8,94,6,4
pg1_8,95,6,4
pg1_8,96,6,4
pg1_8,97,6,4
pg1_9,1,0,10
pg1_9,2,0,10
pg1_9,3,0,10
pg1_9,4,0,10
pg1_9,5,0,10
pg1_9,6,0,10
pg1_9,7,0,10
pg1_9,8,0,10
pg1_9,9,0,10
pg1_9,10,0,10
pg1_9,11,0,10
pg1_9,12,0,10
pg1_9,13,1,9
pg1_9,14,1,9
pg1_9,15,1,9
pg1_9,16,1,9
pg1_9,17,1,9
pg1_9,18,1,9
pg1_9,19,1,9
pg1_9,20,1,9
pg1_9,21,1,9
pg1_9,22,1,9
pg1_9,23,2,8
pg1_9,24,2,8
pg1_9,25,2,8
pg1_9,26,2,8
pg1_9,27,3,7
pg1_9,28,3,7
pg1_9,29,3,7
pg1_9,30,4,6
pg1_9,31,4,6
pg1_9,32,4,6
pg1_9,33,5,5
pg1_9,34,5,5
pg1_9,35,5,5
pg1_9,36,5,5
pg1_9,37,5,5
pg1_9,38,5,5
pg1_9,39,5,5
pg1_9,40,5,5
pg1_9,41,7,3
pg1_9,42,8,2
pg1_9,43,8,2
pg1_9,44,8,2
pg1_9,45,9,1
pg1_9,46,8,2
pg1_9,47,9,1
pg1_9,48,9,1
pg1_9,49,9,1
pg1_9,50,9,1
pg1_9,51,9,1
pg1_9,52,9,1
pg1_9,53,9,1
pg1_9,54,9,1
pg1_9,55,9,1
pg1_9,56,9,1
pg1_9,57,9,1
pg1_9,58,9,1
pg1_9,59,9,1
pg1_9,60,9,1
pg1_9,61,9,1
pg1_9,62,9,1
pg1_9,63,9,1
pg1_9,64,10,0
pg1_9,65,10,0
pg1_9,66,10,0
pg1_9,67,10,0
pg1_9,68,10,0
pg1_9,69,10,0
pg1_9,70,10,0
pg1_9,71,10,0
pg1_9,72,10,0
pg1_9,73,10,0
pg1_9,74,10,0
pg1_9,75,10,0
pg1_9,76,10,0
pg1_9,77,10,0
pg1_9,78,10,0
pg1_9,79,10,0
pg1_9,80,10,0
pg1_9,81,10,0
pg1_9,82,10,0
pg1_9,83,10,0
pg1_9,84,10,0
pg1_9,85,10,0
pg1_9,86,10,0
pg1_9,87,10,0
pg1_9,88,10,0
pg1_9,89,10,0
pg1_9,90,10,0
pg1_9,91,10,0
pg1_9,92,10,0
pg1_9,93,10,0
