group,frame,pg_im_count,pg_el_count,total_objects
pg1_3,85,3,7,10
pg1_3,86,3,7,10
pg1_3,87,3,7,10
pg1_3,88,3,7,10
pg1_3,89,3,7,10
pg1_3,90,3,7,10
pg1_3,91,3,7,10
pg1_3,92,3,7,10
pg1_3,93,3,7,10
pg1_3,94,3,7,10
pg1_3,95,3,7,10
pg1_3,96,3,7,10
pg1_3,97,3,7,10
pg1_4,1,10,0,10
pg1_4,2,10,0,10
pg1_4,3,10,0,10
pg1_4,4,10,0,10
pg1_4,5,10,0,10
pg1_4,6,10,0,10
pg1_4,7,10,0,10
pg1_4,8,10,0,10
pg1_4,9,10,0,10
pg1_4,10,10,0,10
pg1_4,11,10,0,10
pg1_4,12,10,0,10
pg1_4,13,10,0,10
pg1_4,14,10,0,10
pg1_4,15,10,0,10
pg1_4,16,10,0,10
pg1_4,17,10,0,10
pg1_4,18,10,0,10
pg1_4,19,10,0,10
pg1_4,20,10,0,10
pg1_4,21,10,0,10
pg1_4,22,10,0,10
pg1_4,23,10,0,10
pg1_4,24,10,0,10
pg1_4,25,10,0,10
pg1_4,26,9,1,10
pg1_4,27,9,1,10
pg1_4,28,8,2,10
pg1_4,29,7,3,10
pg1_4,30,7,3,10
pg1_4,31,6,4,10
pg1_4,32,6,4,10
pg1_4,33,6,4,10
pg1_4,34,6,4,10
pg1_4,35,5,5,10
pg1_4,36,5,5,10
pg1_4,37,4,6,10
pg1_4,38,3,7,10
pg1_4,39,3,7,10
pg1_4,40,3,7,10
pg1_4,41,3,7,10
pg1_4,42,3,7,10
pg1_4,43,3,7,10
pg1_4,44,3,7,10
pg1_4,45,3,7,10
pg1_4,46,3,7,10
pg1_4,47,3,7,10
pg1_4,48,3,7,10
pg1_4,49,3,7,10
pg1_4,50,3,7,10
pg1_4,51,3,7,10
pg1_4,52,3,7,10
pg1_4,53,3,7,10
pg1_4,54,3,7,10
pg1_4,55,3,7,10
pg1_4,56,3,7,10
pg1_4,57,3,7,10
pg1_4,58,3,7,10
pg1_4,59,3,7,10
pg1_4,60,3,7,10
pg1_4,61,3,7,10
pg1_4,62,3,7,10
pg1_4,63,3,7,10
pg1_4,64,3,7,10
pg1_4,65,3,7,10
pg1_4,66,3,7,10
pg1_4,67,3,7,10
pg1_4,68,3,7,10
pg1_4,69,3,7,10
pg1_4,70,3,7,10
pg1_4,71,3,7,10
pg1_4,72,3,7,10
pg1_4,73,3,7,10
pg1_4,74,3,7,10
pg1_4,75,3,7,10
pg1_4,76,3,7,10
pg1_4,77,3,7,10
pg1_4,78,3,7,10
pg1_4,79,3,7,10
pg1_4,80,3,7,10
pg1_4,81,3,7,10
pg1_4,82,3,7,10
pg1_4,83,3,7,10
pg1_4,84,3,7,10
pg1_4,85,2,8,10
pg1_4,86,2,8,10
pg1_4,87,2,8,10
pg1_4,88,2,8,10
pg1_4,89,2,8,10
pg1_4,90,2,8,10
pg1_4,91,2,8,10
pg1_4,92,2,8,10
pg1_4,93,2,8,10
pg1_4,94,2,8,10
pg1_4,95,2,8,10
pg1_4,96,2,8,10
pg1_4,97,2,8,10
pg1_5,1,10,0,10
pg1_5,2,10,0,10
pg1_5,3,10,0,10
pg1_5,4,10,0,10
pg1_5,5,10,0,10
pg1_5,6,10,0,10
pg1_5,7,10,0,10
pg1_5,8,10,0,10
pg1_5,9,10,0,10
pg1_5,10,10,0,10
pg1_5,11,10,0,10
pg1_5,12,10,0,10
pg1_5,13,10,0,10
pg1_5,14,10,0,10
pg1_5,15,10,0,10
pg1_5,16,10,0,10
pg1_5,17,10,0,10
pg1_5,18,10,0,10
