seed_key,group,track_id,width_change_p15,mean_iou_p15,height_change_p15,area_change_p15,std_center_x_p15,std_center_y_p15,std_iou_p15,middle_mean_width_p15,movement_std_p15,median_movement_p15,middle_mean_height_p15,early_mean_area_p15,max_movement_p15,early_mean_width_p15,middle_mean_area_p15,width_change_reconstructed,mean_iou_reconstructed,height_change_reconstructed,area_change_reconstructed,std_center_x_reconstructed,std_center_y_reconstructed,std_iou_reconstructed,middle_mean_width_reconstructed,movement_std_reconstructed,median_movement_reconstructed,middle_mean_height_reconstructed,early_mean_area_reconstructed,max_movement_reconstructed,early_mean_width_reconstructed,middle_mean_area_reconstructed
pg6_9__2,pg6_9,2,133.0,0.9650313590226772,101.0,22798.0,12.693564547956932,3.7968247805612783,0.0291351128118668,61.34375,0.654311534858858,0.7071067811865476,40.46875,1590.40625,2.549509756796392,44.40625,2537.46875,133.0,0.9650313590226771,101.0,22798.0,12.693564547956932,3.7968247805612783,0.02913511281186688,61.34375,0.654311534858858,0.7071067811865476,40.46875,1590.40625,2.5495097567963922,44.40625,2537.46875
pg6_9__3,pg6_9,3,277.0,0.9556869845027988,187.0,66287.0,5.50702697995333,3.5648047528472,0.0901363692371458,43.8125,0.8755684226310234,0.5,38.28125,1039.0,2.8284271247461903,36.75,1693.09375,277.0,0.9556869845027989,187.0,66287.0,5.50702697995333,3.5648047528472,0.0901363692371458,43.8125,0.8755684226310234,0.5,38.28125,1039.0,2.8284271247461903,36.75,1693.09375
pg6_9__4,pg6_9,4,59.0,0.966355251142014,97.0,11533.0,5.12829867867068,13.55806116025951,0.0326429527988994,44.0625,0.5885561037993019,0.7071067811865476,50.15625,1368.28125,1.8027756377319943,37.625,2296.75,59.0,0.9663552511420139,97.0,11533.0,5.12829867867068,13.55806116025951,0.03264295279889948,44.0625,0.5885561037993019,0.7071067811865476,50.15625,1368.28125,1.8027756377319946,37.625,2296.75
pg6_9__5,pg6_9,5,66.0,0.9502895557060486,70.0,10146.0,36.54245394864442,16.024838900653613,0.0871881323882287,89.125,1.416067152429324,1.118033988749895,59.1875,1631.75,4.031128874149275,45.28125,5693.9375,66.0,0.9502895557060486,70.0,10146.0,36.54245394864442,16.024838900653613,0.08718813238822874,89.125,1.416067152429324,1.118033988749895,59.1875,1631.75,4.031128874149275,45.28125,5693.9375
pg6_9__6,pg6_9,6,27.0,0.9714789696206352,94.0,7726.0,2.910057469815296,7.382188380295957,0.0350504563809129,52.90625,1.1214494843095553,0.0,36.875,1545.8125,4.5,45.90625,1959.84375,27.0,0.9714789696206352,94.0,7726.0,2.910057469815296,7.382188380295957,0.03505045638091299,52.90625,1.1214494843095553,0.0,36.875,1545.8125,4.5,45.90625,1959.84375
pg6_9__7,pg6_9,7,96.0,0.9587016844245784,349.0,50728.0,12.42724602759498,35.40130456292744,0.0513104037666233,53.90625,1.5718273862937526,1.5,80.9375,1453.59375,10.307764064044152,40.84375,4607.9375,96.0,0.9587016844245783,349.0,50728.0,12.427246027594979,35.40130456292744,0.05131040376662331,53.90625,1.5718273862937526,1.5,80.9375,1453.59375,10.307764064044152,40.84375,4607.9375
pg6_9__8,pg6_9,8,59.0,0.9571441224176308,135.0,14966.0,5.885835074334476,4.101376369999188,0.0468759628051515,42.28125,0.8967703877995192,0.6035533905932737,41.875,1384.0,3.2015621187164243,38.46875,1782.125,59.0,0.9571441224176308,135.0,14966.0,5.885835074334476,4.101376369999188,0.04687596280515157,42.28125,0.8967703877995192,0.6035533905932737,41.875,1384.0,3.2015621187164243,38.46875,1782.125
pg6_9__9,pg6_9,9,30.0,0.9704436624187812,122.0,9314.0,1.6029021665437604,18.92081911837084,0.0288984308900174,43.5625,0.6734961339037198,0.6035533905932737,54.84375,1547.28125,2.0615528128088303,39.5625,2454.875,30.0,0.9704436624187812,122.0,9314.0,1.6029021665437604,18.920819118370837,0.02889843089001746,43.5625,0.6734961339037198,0.6035533905932737,54.84375,1547.28125,2.0615528128088303,39.5625,2454.875
pg7_10__0,pg7_10,0,130.0,0.9632880223460164,29.0,10245.0,10.815263400153938,3.349936508266465,0.0397213992868218,48.40625,0.7668946273030807,0.7071067811865476,42.9375,1501.125,4.272001872658765,35.59375,2089.875,130.0,0.9632880223460164,29.0,10245.0,10.815263400153938,3.349936508266465,0.03972139928682187,48.40625,0.7668946273030807,0.7071067811865476,42.9375,1501.125,4.272001872658765,35.59375,2089.875
pg7_10__1,pg7_10,1,146.0,0.95907439688457,91.0,23092.0,18.275358661067877,13.102425623999435,0.0332995793829557,52.3125,1.2394271370466512,0.7071067811865476,47.9375,1707.71875,6.363961030678928,48.53125,2552.6875,146.0,0.9590743968845699,91.0,23092.0,18.275358661067873,13.102425623999437,0.03329957938295577,52.3125,1.2394271370466512,0.7071067811865476,47.9375,1707.71875,6.363961030678928,48.53125,2552.6875
