group,object_index,transition_frame,spatial_jump,previous_class,current_class
pg1_9,2,32,96.28733042306241,pg_im,pg_el
pg1_9,2,34,85.70297544426332,pg_el,pg_im
pg1_9,2,36,300.4205385788395,pg_im,pg_el
pg1_9,2,38,85.37124808739767,pg_el,pg_im
pg1_9,2,39,243.97387155185285,pg_im,pg_el
pg1_9,2,44,109.60155108391487,pg_el,pg_im
pg1_9,2,45,168.1814496310458,pg_im,pg_el
pg1_9,2,46,168.1814496310458,pg_el,pg_im
pg1_9,2,47,150.06415294799754,pg_im,pg_el
pg1_9,2,56,195.8679402046185,pg_el,pg_im
pg1_9,2,57,199.27995383379633,pg_im,pg_el
pg1_9,3,18,79.26064597263891,pg_im,pg_el
pg1_9,3,19,79.26064597263891,pg_el,pg_im
pg1_9,3,27,79.72766144820754,pg_im,pg_el
pg1_9,3,29,147.2964697472414,pg_el,pg_im
pg1_9,3,33,91.10021953870364,pg_im,pg_el
pg1_9,3,36,300.4205385788395,pg_el,pg_im
pg1_9,3,38,348.6850297904973,pg_im,pg_el
