group,track_id,total_frames,pg_el_count,pg_im_count,pg_el_fraction,first_pg_el_frame,last_pg_el_frame,longest_pg_el_run,final_pg_el_run,first_pg_el_persistence,pg_el_run_count,pg_el_by_24,pg_el_by_48,pg_el_by_72,stable_3,stable_5,stable_10,stable_15,stable_20,final_class,germination_target,final_label,reversal_count
pg2_11,3,97,31,66,0.31958762886597936,66.0,97.0,30,30,1,2,False,False,True,True,True,True,True,True,pg_el,1,GERMINATED,1
pg2_11,4,97,78,19,0.8041237113402062,20.0,97.0,78,78,78,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_11,5,97,59,38,0.6082474226804123,39.0,97.0,59,59,59,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_11,6,97,77,20,0.7938144329896907,21.0,97.0,77,77,77,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_11,7,97,79,18,0.8144329896907216,19.0,97.0,79,79,79,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_11,8,97,79,18,0.8144329896907216,18.0,97.0,77,77,2,2,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,1
pg2_11,9,97,73,24,0.7525773195876289,25.0,97.0,73,73,73,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_12,0,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_12,1,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_12,2,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_12,3,97,68,29,0.7010309278350515,30.0,97.0,68,68,68,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_12,4,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_12,5,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_12,6,97,73,24,0.7525773195876289,25.0,97.0,73,73,73,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_12,7,97,70,27,0.7216494845360825,28.0,97.0,70,70,70,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_12,8,97,75,22,0.7731958762886598,23.0,97.0,75,75,75,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_12,9,97,67,30,0.6907216494845361,31.0,97.0,67,67,67,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,0,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_2,1,97,56,41,0.5773195876288659,41.0,97.0,54,54,2,2,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,1
pg2_2,2,97,69,28,0.711340206185567,29.0,97.0,69,69,69,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,3,97,74,23,0.7628865979381443,24.0,97.0,74,74,74,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,4,97,79,18,0.8144329896907216,19.0,97.0,79,79,79,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,5,97,79,18,0.8144329896907216,19.0,97.0,79,79,79,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,6,97,70,27,0.7216494845360825,28.0,97.0,70,70,70,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,7,97,61,36,0.6288659793814433,37.0,97.0,61,61,61,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,8,97,62,35,0.6391752577319587,36.0,97.0,62,62,62,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_2,9,97,81,16,0.8350515463917526,17.0,97.0,81,81,81,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,0,97,60,37,0.6185567010309279,38.0,97.0,60,60,60,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,1,97,59,38,0.6082474226804123,39.0,97.0,59,59,59,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,2,97,70,27,0.7216494845360825,28.0,97.0,70,70,70,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,3,97,70,27,0.7216494845360825,28.0,97.0,70,70,70,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,4,97,79,18,0.8144329896907216,19.0,97.0,79,79,79,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,5,97,65,32,0.6701030927835051,33.0,97.0,65,65,65,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,6,97,41,56,0.422680412371134,57.0,97.0,41,41,41,1,False,False,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,7,97,39,58,0.4020618556701031,59.0,97.0,39,39,39,1,False,False,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,8,97,79,18,0.8144329896907216,19.0,97.0,79,79,79,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_3,9,97,68,29,0.7010309278350515,30.0,97.0,68,68,68,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,0,97,0,97,0.0,,,0,0,0,0,False,False,False,False,False,False,False,False,pg_im,0,NON-GERMINATED,0
pg2_4,1,97,78,19,0.8041237113402062,20.0,97.0,78,78,78,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,2,97,33,64,0.3402061855670103,65.0,97.0,33,33,33,1,False,False,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,3,97,65,32,0.6701030927835051,33.0,97.0,65,65,65,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,4,97,50,47,0.5154639175257731,48.0,97.0,50,50,50,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,5,97,69,28,0.711340206185567,29.0,97.0,69,69,69,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,6,97,76,21,0.7835051546391752,21.0,97.0,75,75,1,2,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,1
pg2_4,7,97,83,14,0.8556701030927835,15.0,97.0,83,83,83,1,True,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
pg2_4,8,97,60,37,0.6185567010309279,38.0,97.0,60,60,60,1,False,True,True,True,True,True,True,True,pg_el,1,GERMINATED,0
